Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-02-22,128.009995,129.720001,125.599998,126.000000,125.415123,103916400,-0.015701859843053688
2021-02-23,123.760002,126.709999,118.389999,125.860001,125.275780,158273000,0.016968317437486766
2021-02-24,124.940002,125.559998,122.230003,125.349998,124.768143,111039900,0.0032815430881775755
2021-02-25,124.680000,126.459999,120.540001,120.989998,120.428383,148199500,-0.029595781199871725
2021-02-26,122.589996,124.849998,121.199997,121.260002,120.697136,164560400,-0.010849123447234628
2021-03-01,123.750000,127.930000,122.790001,127.790001,127.196815,116307900,0.03264647272727276
2021-03-02,128.410004,128.720001,125.010002,125.120003,124.539215,102260900,-0.025621064539488606
2021-03-03,124.809998,125.709999,121.839996,122.059998,121.493416,112966300,-0.022033491259249922
2021-03-04,121.750000,123.599998,118.620003,120.129997,119.572372,178155000,-0.013305979466119071
2021-03-05,120.980003,121.940002,117.570000,121.419998,120.856384,153766600,0.0036369233682364047
2021-03-08,120.930000,121.000000,116.209999,116.360001,115.819870,154376600,-0.03779044902009435
2021-03-09,119.029999,122.059998,118.790001,121.089996,120.527916,129525800,0.017306536312749154
2021-03-10,121.690002,122.169998,119.449997,119.980003,119.423073,111943300,-0.014052091148786491
2021-03-11,122.540001,123.209999,121.260002,121.959999,121.393875,103026500,-0.00473316464229511
2021-03-12,120.400002,121.169998,119.160004,121.029999,120.468201,88105100,0.005232533135672232
2021-03-15,121.410004,124.000000,120.419998,123.989998,123.414452,92403800,0.02125025875132991
2021-03-16,125.699997,127.220001,124.720001,125.570000,124.987114,115227900,-0.0010341845911102372
2021-03-17,124.050003,125.860001,122.339996,124.760002,124.180885,111932600,0.005723490389597139
2021-03-18,122.879997,123.180000,120.320000,120.529999,119.970512,121229700,-0.019124333149194327
2021-03-19,119.900002,121.430000,119.680000,119.989998,119.433022,185549500,0.0007505921476131359
2021-03-22,120.330002,123.870003,120.260002,123.389999,122.817245,111912300,0.025430041960773923
2021-03-23,123.330002,124.239998,122.139999,122.540001,121.971191,95467100,-0.00640558653359942
2021-03-24,122.820000,122.900002,120.070000,120.089996,119.532555,88530500,-0.022227682787819524
2021-03-25,119.540001,121.660004,119.000000,120.589996,120.030235,98844700,0.008783628837346217
2021-03-26,120.349998,121.480003,118.919998,121.209999,120.647362,94071200,0.007145833105871733
2021-03-29,121.650002,122.580002,120.730003,121.389999,120.826523,80819200,-0.0021373037050997955
2021-03-30,120.110001,120.400002,118.860001,119.900002,119.343437,85671900,-0.0017483889622146975
2021-03-31,121.650002,123.519997,121.150002,122.150002,121.582993,118323800,0.004110152008053399
2021-04-01,123.660004,124.180000,122.489998,123.000000,122.429047,75089100,-0.00533724711831645
2021-04-05,123.870003,126.160004,123.070000,125.900002,125.315590,88651200,0.016388140395863265
2021-04-06,126.500000,127.129997,125.650002,126.209999,125.624153,80171300,-0.0022924980237154446
2021-04-07,125.830002,127.919998,125.139999,127.900002,127.306313,83466700,0.01645076664625665
2021-04-08,128.949997,130.389999,128.520004,130.360001,129.754883,88844600,0.01093450199925181
2021-04-09,129.800003,133.039993,129.470001,133.000000,132.382614,106686700,0.02465328910662657
2021-04-12,132.520004,132.850006,130.630005,131.240005,130.630798,91420000,-0.00965891157081465
2021-04-13,132.440002,134.660004,131.929993,134.429993,133.805984,91266500,0.015025603820211385
2021-04-14,134.940002,135.000000,131.660004,132.029999,131.417130,87222800,-0.021565161974727028
2021-04-15,133.820007,135.000000,133.639999,134.500000,133.875656,89347100,0.005081400122778323
2021-04-16,134.300003,134.669998,133.279999,134.160004,133.537262,84922400,-0.0010424348240708327
2021-04-19,133.509995,135.470001,133.339996,134.839996,134.214096,94264200,0.009961808477335424
2021-04-20,135.020004,135.529999,131.809998,133.110001,132.492126,94812300,-0.014146074236525641
2021-04-21,132.360001,133.750000,131.300003,133.500000,132.880310,68847100,0.008612866359830178
2021-04-22,133.039993,134.149994,131.410004,131.940002,131.327560,84566500,-0.008268122804245916
2021-04-23,132.160004,135.119995,132.160004,134.320007,133.696518,78657500,0.016343847870949047
2021-04-26,134.830002,135.059998,133.559998,134.720001,134.094650,66905100,-0.0008158495762687233
2021-04-27,135.009995,135.410004,134.110001,134.389999,133.766174,66015800,-0.004592222968381079
2021-04-28,134.309998,135.020004,133.080002,133.580002,132.959930,107760100,-0.005435157552455624
2021-04-29,136.470001,137.070007,132.449997,133.479996,132.860397,151101000,-0.02190961367399709
2021-04-30,131.779999,133.559998,131.070007,131.460007,130.849777,109839500,-0.002428228884718791
2021-05-03,132.039993,134.070007,131.830002,132.539993,131.924744,75135100,0.003786731494298095
2021-05-04,131.190002,131.490005,126.699997,127.849998,127.256531,137564700,-0.025459287667363505
2021-05-05,129.199997,130.449997,127.970001,128.100006,127.505386,84000900,-0.008513862426792383
2021-05-06,127.889999,129.750000,127.129997,129.740005,129.137772,78128300,0.014465603365905048
2021-05-07,130.850006,131.259995,129.479996,130.210007,129.825745,78973300,-0.004891088808968165
2021-05-10,129.410004,129.539993,126.809998,126.849998,126.475639,88071200,-0.019782133690375184
2021-05-11,123.500000,126.269997,122.769997,125.910004,125.538422,126142800,0.019514202429149804
2021-05-12,123.400002,124.639999,122.250000,122.769997,122.407684,112172300,-0.005105388896184921
2021-05-13,124.580002,126.150002,124.260002,124.970001,124.601189,105861300,0.003130510465074508
